epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8442,1.05314,1.27923,1.09801,0.8608,0.59365,0.59763,0.3845,0.97208,0.99371,1.13244,0.00041471,0.00041471,0.00041471
2,184.116,0.89908,0.66531,1.0106,0.86652,0.58216,0.56805,0.37856,0.97745,0.80412,1.14372,0.000814916,0.000814916,0.000814916
3,272.877,0.85842,0.59529,1.00329,0.84281,0.53045,0.55871,0.35874,0.9437,0.76658,1.14788,0.00119862,0.00119862,0.00119862
4,348.618,0.83552,0.53674,1.00126,0.88396,0.60627,0.61043,0.41357,0.89721,0.68531,1.12599,0.00117575,0.00117575,0.00117575
5,436.369,0.82799,0.51351,1.00343,0.90625,0.62928,0.61827,0.43028,0.86266,0.62877,1.1083,0.001151,0.001151,0.001151
6,520.333,0.8018,0.47688,0.9908,0.88692,0.62019,0.60266,0.43075,0.84276,0.61386,1.09953,0.00112625,0.00112625,0.00112625
7,603.589,0.79173,0.45327,0.99014,0.89321,0.62868,0.62036,0.4469,0.8436,0.60864,1.09523,0.0011015,0.0011015,0.0011015
8,688.657,0.77987,0.44447,0.99405,0.63643,0.62501,0.61792,0.41475,0.87371,0.58761,1.12553,0.00107675,0.00107675,0.00107675
9,775.825,0.769,0.43371,0.98797,0.65007,0.632,0.62838,0.45701,0.824,0.55771,1.1009,0.001052,0.001052,0.001052
10,859.526,0.77268,0.42247,0.99117,0.91334,0.63499,0.63061,0.4717,0.80333,0.53657,1.07985,0.00102725,0.00102725,0.00102725
11,942.491,0.76128,0.4156,0.98501,0.89983,0.63794,0.62727,0.45232,0.81707,0.53851,1.08692,0.0010025,0.0010025,0.0010025
12,1025.35,0.75593,0.4066,0.98242,0.8918,0.62386,0.62655,0.46805,0.7968,0.53301,1.08246,0.00097775,0.00097775,0.00097775
13,1108.22,0.75661,0.40555,0.98289,0.91507,0.64888,0.63898,0.48488,0.79378,0.51251,1.07167,0.000953,0.000953,0.000953
14,1191.01,0.74131,0.39578,0.97918,0.65014,0.62317,0.62651,0.47059,0.7933,0.5136,1.07597,0.00092825,0.00092825,0.00092825
15,1273.68,0.73698,0.38555,0.97161,0.67119,0.65021,0.64066,0.4833,0.78196,0.5064,1.06653,0.0009035,0.0009035,0.0009035
16,1356.73,0.74042,0.38651,0.97523,0.9196,0.65381,0.63992,0.49423,0.7682,0.48013,1.05895,0.00087875,0.00087875,0.00087875
17,1439.72,0.73644,0.38088,0.97592,0.6717,0.65283,0.64023,0.49505,0.7649,0.47808,1.05827,0.000854,0.000854,0.000854
18,1522.66,0.73069,0.37627,0.97571,0.67888,0.64931,0.64004,0.49772,0.75986,0.4674,1.05375,0.00082925,0.00082925,0.00082925
19,1605.65,0.71953,0.3706,0.96841,0.66159,0.65446,0.64231,0.49154,0.75517,0.47926,1.05192,0.0008045,0.0008045,0.0008045
